"nik","nama","tempatlahir","tanggallahir","jekel","alamat","agama","status"
"8025480511102056","Nurul Lailasari","Administrasi Jakarta Utara","2002-02-08","0","Jln. Bambu No. 383, Ambon 75007, KalBar","0","0"
"0827055508899072","Ulva Ulva Usamah S.E.","Depok","1989-12-01","1","Psr. Basoka No. 913, Lhokseumawe 67290, Aceh","4","1"
"8475532305935379","Edi Januar S.Ked","Pematangsiantar","1981-08-24","0","Jr. Otista No. 182, Pariaman 58437, KalSel","2","0"
"5509196908112527","Hesti Yolanda","Jayapura","2013-02-27","1","Gg. Supono No. 897, Administrasi Jakarta Barat 34302, MalUt","1","0"
"1732511610908926","Gawati Alika Nurdiyanti M.TI.","Blitar","1972-07-20","1","Ki. Nangka No. 4, Bandar Lampung 23860, Aceh","5","1"
"4301222111973333","Gambira Rajasa","Administrasi Jakarta Timur","1970-12-27","1","Ki. Rumah Sakit No. 581, Lubuklinggau 25485, SulSel","5","0"
"9702272801990753","Raina Elma Farida","Pekanbaru","1983-11-01","1","Psr. Wahid No. 334, Gorontalo 17091, SumSel","0","0"
"5429584409899220","Paramita Aryani S.I.Kom","Banjarmasin","1989-04-02","0","Kpg. Dipatiukur No. 937, Prabumulih 40978, SumSel","4","1"
"4405623107174922","Putri Hassanah","Kupang","2011-11-28","1","Psr. Pasteur No. 516, Tebing Tinggi 13405, JaTeng","3","0"
"5467601003925030","Wulan Humaira Purwanti S.Gz","Banjarbaru","1988-02-03","0","Kpg. Antapani Lama No. 869, Sorong 78725, BaBel","2","0"
"9437170704106040","Unjani Nasyiah M.TI.","Bitung","1982-11-03","1","Jln. Katamso No. 350, Tomohon 26144, JaBar","0","0"
"3397051006894938","Gangsar Nashiruddin","Kendari","1988-10-26","1","Ds. Urip Sumoharjo No. 877, Semarang 29291, NTT","3","1"
"8029316107075602","Ikin Salman Utama","Banjarmasin","1979-07-22","1","Dk. Wahid Hasyim No. 3, Palembang 75378, MalUt","2","0"
"8622944509071016","Manah Niyaga Firmansyah","Tasikmalaya","2014-01-29","1","Psr. Pahlawan No. 685, Bitung 51701, JaTeng","1","0"
"3368832608955566","Hadi Rajata M.Farm","Pematangsiantar","2015-05-10","0","Jr. Ters. Jakarta No. 970, Cirebon 20373, Lampung","1","1"
"8357391906902500","Zulfa Mulyani","Probolinggo","1989-06-19","1","Ds. Rajawali Timur No. 306, Probolinggo 89038, SumBar","1","0"
"7747916909005650","Nova Rahmawati","Padangpanjang","1974-08-05","0","Psr. Lumban Tobing No. 415, Bau-Bau 40920, SumSel","1","1"
"8136680506052979","Anita Diah Widiastuti","Kupang","2008-05-21","0","Jln. Reksoninten No. 198, Tarakan 96113, KalTeng","3","0"
"5261840812115312","Tiara Lestari S.Gz","Yogyakarta","2002-05-26","0","Kpg. W.R. Supratman No. 302, Samarinda 68095, SumSel","2","0"
"2594044410162621","Qori Hassanah","Ambon","1976-04-06","0","Ki. Zamrud No. 544, Palangka Raya 84415, JaTim","1","0"
"4665335402145171","Elma Haryanti","Pariaman","2015-09-19","1","Jr. Industri No. 942, Kediri 82635, Bengkulu","5","0"
"3699186005910093","Agnes Vanesa Maryati","Bontang","2006-09-03","0","Ki. Warga No. 444, Tarakan 83525, JaBar","0","0"
"9047112212897736","Jessica Handayani","Manado","1986-03-03","1","Dk. Bazuka Raya No. 759, Pekanbaru 29834, PapBar","5","1"
"2691350401131095","Ulya Prastuti","Pematangsiantar","2012-02-14","1","Kpg. Uluwatu No. 200, Banjar 71023, SulTra","4","0"
"8719480709033216","Septi Astuti","Sorong","2012-08-08","1","Ki. Baja Raya No. 387, Lhokseumawe 77258, Maluku","5","1"
"3592820504144316","Karen Prastuti","Magelang","1995-03-16","0","Psr. Gatot Subroto No. 143, Cirebon 91536, KalSel","1","1"
"7620074205075501","Titin Puspasari","Kediri","2006-01-03","1","Psr. Daan No. 475, Madiun 37129, KalUt","5","1"
"5129064310973745","Vanya Ophelia Lailasari M.M.","Surabaya","2014-06-09","0","Ds. Sutan Syahrir No. 937, Bogor 30006, Jambi","5","0"
"8747534401112671","Bagus Parman Hidayat S.Sos","Subulussalam","2001-05-29","0","Jr. Ters. Pasir Koja No. 379, Palembang 29185, Papua","5","1"
"3225190403977070","Yulia Kuswandari","Samarinda","2013-01-09","0","Ds. Bappenas No. 173, Mojokerto 23609, SulBar","5","0"
"2970956711062212","Mala Eka Prastuti","Banjarmasin","2016-06-21","1","Jln. Warga No. 265, Medan 66776, Riau","0","0"
"8041754502005261","Bagiya Wacana","Bekasi","2005-01-30","0","Dk. Arifin No. 596, Tasikmalaya 52057, Bengkulu","0","1"
"7741155508930669","Mulyanto Tampubolon S.Psi","Parepare","1984-12-23","1","Dk. Ters. Jakarta No. 24, Tangerang 70193, KalTim","2","0"
"3377234610898786","Hamima Anita Purnawati S.Psi","Tasikmalaya","2014-02-19","1","Jln. Dipatiukur No. 468, Pagar Alam 36707, DIY","0","1"
"6784641307941046","Tantri Rahayu Yulianti","Sorong","2001-01-22","0","Psr. Radio No. 701, Lhokseumawe 48827, JaTim","3","0"
"8969272301086588","Gaiman Lasmono Nashiruddin","Bandar Lampung","1989-08-09","1","Dk. Astana Anyar No. 495, Administrasi Jakarta Pusat 54052, Aceh","0","1"
"7796042502980249","Ghaliyati Yunita Puspita M.Farm","Palu","1999-05-11","1","Jln. Padma No. 468, Pematangsiantar 75939, SulTra","3","1"
"6457774410913259","Genta Hastuti","Palopo","2001-08-11","1","Jln. Sutan Syahrir No. 472, Tidore Kepulauan 16523, DKI","0","1"
"4036956007135084","Hani Wahyuni","Pematangsiantar","2009-07-13","0","Jr. Jambu No. 911, Cirebon 40076, DIY","4","0"
"1314190612164994","Maman Darman Hutasoit S.Gz","Tomohon","1990-01-04","1","Gg. Banceng Pondok No. 900, Langsa 89535, Jambi","5","1"
"1793141105060768","Alika Hasanah S.Sos","Administrasi Jakarta Utara","2010-11-18","1","Gg. Ikan No. 648, Bekasi 78894, SumBar","5","1"
"7241885302194793","Tantri Rahimah","Palu","1990-05-03","0","Gg. Bayam No. 476, Sawahlunto 88462, DIY","0","1"
"2347216306925751","Zulaikha Puspita","Manado","2004-12-19","1","Psr. Nangka No. 78, Lubuklinggau 29038, SulUt","4","0"
"6634415506074111","Dalima Amalia Handayani","Administrasi Jakarta Selatan","2001-11-09","0","Kpg. Siliwangi No. 764, Jayapura 93293, Banten","2","0"
"5302964505986370","Mala Padmasari","Administrasi Jakarta Barat","2010-06-11","0","Gg. Raden No. 553, Makassar 96788, Aceh","1","1"
"5627690305189850","Lega Thamrin","Administrasi Jakarta Pusat","1996-09-01","1","Ki. Ekonomi No. 82, Administrasi Jakarta Timur 82112, Banten","2","0"
"3803721802095443","Mulya Jailani","Pontianak","2008-03-02","0","Ds. Jagakarsa No. 380, Depok 13157, MalUt","5","0"
